ROADCODE,ROADNAME,HOUSE_NO,FACILITY,FAC_TYPE,WEBLINK,SUBTYPE,Latitude,Longitude
13670,136B STREET,7120,Newton Arena,Arena,http://www.surrey.ca/culture-recreation/5044.aspx,,49.131971,-122.842371
49901,HWY 99,298,B.C. Visitor Centre @ Peace Arch,Other,http://www.hellobc.com/visitorcentrelisting/4548477/british-columbia-visitor-centre-@-peace-arch.aspx,Tourism,49.007182,-122.757222
02000,20 AVENUE,12550,Ocean Cliff Elementary School,School,https://www.surreyschools.ca/schools/oceancliff/Pages/default.aspx,Elementary,49.038039,-122.875326
08800,88 AVENUE,19076,Port Kells Elementary School,School,https://www.surreyschools.ca/schools/portkells/Pages/default.aspx,Elementary,49.162504,-122.693862
10400,104 AVENUE,14781,Hjorth Road Elementary School,School,https://www.surreyschools.ca/schools/hjorthroad/Pages/default.aspx,Elementary,49.192156,-122.813130
10200,102 AVENUE,17070,Bothwell Elementary School,School,https://www.surreyschools.ca/schools/bothwell/Pages/default.aspx,Elementary,49.187325,-122.748909
15400,154 STREET,1845,Sunnyside Community Hall,Community Hall/Centre,http://www.surrey.ca/culture-recreation/6054.aspx,,49.035378,-122.796902
16000,160 STREET,9353,Hemlock Yard,Municipal,http://www.surrey.ca/city-government/717.aspx,,49.172631,-122.779394
11300,113 AVENUE,13875,Surrey Traditional,School,https://www.surreyschools.ca/schools/surreytraditional/Pages/default.aspx,District Program School,49.208302,-122.837706
13502,107A AVE,13458,Sunrise Pavilion Seniors Centre,Seniors Centre,http://www.surrey.ca/culture-recreation/1792.aspx,,49.196783,-122.849315
09800,98 AVENUE,15225,Mountainview Montessori Elementary School,School,https://www.surreyschools.ca/schools/mountainview/Pages/default.aspx,Elementary,49.180900,-122.799822
13601,KING GEORGE BOULEVARD,5228,Birdies & Buckets Family Golf Centre,Golf,http://www.birdiesandbuckets.ca/,,49.098222,-122.816397
10400,104 AVENUE,14439,Surrey Board of Trade,Other,http://www.businessinsurrey.com,,49.191802,-122.822101
19450,194A STREET,6887,Katzie Elementary School,School,https://www.surreyschools.ca/schools/katzie/Pages/default.aspx,Elementary,49.128909,-122.685061
10200,120 STREET,7878,Canadian Tire (Scott Rd),Garbage and Recycling,http://www.canadiantire.ca/en.html,Used Oil,49.146258,-122.889317
15900,159 AVENUE,2828,Sunnyside Elementary School,School,https://www.surreyschools.ca/schools/sunnyside/Pages/default.aspx,Elementary,49.053349,-122.780893
14600,146 STREET,6287,Goldstone Park Elementary School,School,https://www.surreyschools.ca/schools/goldstonepark/pages/default.aspx,Elementary,49.116625,-122.818550
14000,140 STREET,9815,Surrey Community Services Centre,Municipal,http://www.scss.ca,,49.180665,-122.835312
10400,104 AVENUE,13035,Royal Kwantlen Skate Park,Skate Park,http://www.surrey.ca/culture-recreation/2095.aspx,,49.192008,-122.861937
14400,144 STREET,6250,Bell Performing Arts Centre,Attraction,http://www.bellperformingartscentre.sd36.bc.ca/,,49.117031,-122.821802
18400,184 STREET,7027,Surrey Little Theatre,Attraction,http://www.surreylittletheatre.com/Site/Welcome.html,,49.130060,-122.712910
10200,102 AVENUE,13541,Arts Council of Surrey,Attraction,http://www.surrey.ca/youth/132.aspx,,49.188162,-122.847037
04400,44 AVENUE,14246,Serpentine Fen,Attraction,http://www.surrey.ca/culture-recreation/2300.aspx,,49.081701,-122.826380
15650,156A STREET,3302,Morgan Creek Park Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2203.aspx,,49.062143,-122.787836
02000,20 AVENUE,13485,Dogwood Dog-Off-Leash Park,Dog Off-Leash Park,http://www.surrey.ca/culture-recreation/2184.aspx,,49.039033,-122.848646
16800,168 STREET,9600,Tynehead Dog-Off-Leash Park,Dog Off-Leash Park,http://www.surrey.ca/culture-recreation/2135.aspx,,49.184043,-122.757989
21690,DYKE ROAD,10761,Tannery Dog-Off-Leash Park,Dog Off-Leash Park,http://www.surrey.ca/culture-recreation/2092.aspx,,49.198456,-122.899374
12163,MCBRIDE AVENUE,3136,Blackie Spit Dog-Off-Leash Park,Dog Off-Leash Park,http://www.surrey.ca/culture-recreation/2201.aspx,,49.058225,-122.879994
08400,84 STREET,15452,Freedom Dog-Off-Leash Park,Dog Off-Leash Park,http://www.surrey.ca/culture-recreation/2109.aspx,,49.155131,-122.794298
14095,NICO WYND DRIVE,3601,Nico Wynd Golf Course,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.068281,-122.834812
14800,148 STREET,2197,South Surrey Rotary Fieldhouse,Community Hall/Centre,http://www.clubrunner.ca/Portal/SitePages/SitePage.aspx?cid=256&pid=54609,,49.040499,-122.815428
09755,GREEN TIMBERS WAY,14225,Surrey Nature Centre Classroom Building,Attraction,http://www.surrey.ca/culture-recreation/2311.aspx,,49.179245,-122.830382
09755,GREEN TIMBERS WAY,14200,RCMP 'E' Division HQ,RCMP,http://www.surreyrcmp.ca,,49.180144,-122.828744
10500,105 AVENUE,15105,Library Technical Services,Library,http://www.surreylibraries.ca/location-hours/4672.aspx,,49.193493,-122.803067
17601,176 STREET,6455,Visscher Auto Repair,Garbage and Recycling,http://www.profilecanada.com/companydetail.cfm?company=2198046_Visschers_Auto_Repair_Surrey_BC,Used Oil,49.119852,-122.736114
17600,176 STREET,6188,Cloverdale Seniors Centre,Seniors Centre,http://www.surrey.ca/culture-recreation/5030.aspx,,49.115028,-122.734047
80403,CRESCENT ROAD,13723,EHP - Stewart Hall,Other Recreation,http://www.surrey.ca/culture-recreation/2875.aspx,,49.064963,-122.842477
80403,CRESCENT ROAD,13723,Mud Bay Yacht Club,Other Recreation,http://www.cbcyachtclubs.ca/members.htm,,49.065543,-122.842581
14800,148 STREET,6645,Central Works Yard,Municipal,http://www.surrey.ca/city-government/717.aspx,,49.123696,-122.813956
15200,50 AVENUE,16748,SPCA - Animal Pound,Other,http://www.spca.bc.ca/surrey,,49.092882,-122.758007
02400,24 AVENUE,16666,South Works Yard,Municipal,http://www.surrey.ca/city-government/717.aspx,,49.045263,-122.761057
10800,KING GEORGE BOULEVARD,10153,B.C. Surrey Passport Office,Other,http://www.ppt.gc.ca/service/index.aspx?lang=eng&city=Surrey&province=BC&chkPPTC=on&chkCPC=on&chkSCC=on,,49.186486,-122.847577
17900,179 STREET,5950,Zion Lutheran Church & School,School,http://zionlutheran.org,Private,49.110099,-122.725682
08400,84 AVENUE,14724,Cornerstone Kindergarten,School,http://www.cornerstone-montessori.ca,Private,49.155011,-122.814326
06000,60 AVENUE,18603,Bible Way Christian Academy,School,http://www.biblewayacademy.org,Private,49.111695,-122.706629
16000,160 STREET,2656,Southridge Junior School,School,http://www.southridge.bc.ca,Private,49.050702,-122.777156
11650,116A AVENUE,14590,Iqra Islamic School,School,http://www.iqraschool.com,Private,49.214011,-122.818466
16000,160 STREET,2656,Southridge Senior Secondary,School,http://www.southridge.bc.ca/,Private,49.050674,-122.775890
13601,KING GEORGE BOULEVARD,2320,South Surrey / White Rock Learning Centre ,School,https://www.surreyschools.ca/schools/whiterocklc/Pages/default.aspx,Administration,49.044571,-122.791278
17600,176 STREET,5741,Cloverdale Learning Centre,School,https://www.surreyschools.ca/schools/cloverdalelc/Pages/default.aspx,Adult/Continuing Edu,49.106664,-122.735215
07200,72 AVENUE,13730,Newton Indoor Wave Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/7325.aspx,,49.132919,-122.842385
09950,99A AVENUE,15044,Douglas Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2133.aspx,,49.181667,-122.804416
15155,SWAN CRESCENT,11083,Hummingbird Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2143.aspx,,49.203325,-122.804228
02400,24 AVENUE,15515,Semiahmoo Bottle Depot,Garbage and Recycling,https://www.return-it.ca/cfm/index.cfm?It=902&Id=70&SearchID=5E1675D7-300B-41B2-A7918DCB0954BDE3#ID70,Bottle Depot,49.045951,-122.792756
07100,72 AVENUE,13730,Newton Community Hall,Community Hall/Centre,http://www.surrey.ca/culture-recreation/7325.aspx,,49.132968,-122.842123
09800,98 AVENUE,15225,Mountainview Montessori,School,https://www.surreyschools.ca/schools/mountainview/Pages/default.aspx,District Program School,49.180876,-122.800103
14800,148 STREET,1785,S. Surrey/White Rock Cont. Educ.,School,https://www.surreyschools.ca/schools/whiterocklc/Pages/default.aspx,Adult/Continuing Edu,49.034513,-122.813332
15200,54A AVENUE,15250,Roots and Wings Montessori,School,http://www.rootsandwingsbc.com/,Private,49.101265,-122.799543
07000,70 AVENUE,13775,Newton Seniors Centre,Seniors Centre,http://www.surrey.ca/culture-recreation/1777.aspx,,49.130343,-122.840952
13900,139 STREET,10504,Our Lady Of Good Counsel,School,http://www.olgcschool.ca,Private,49.193482,-122.835297
13400,102 AVENUE,13450,Simon Fraser University,School,http://www.surrey.sfu.ca,Post-Secondary,49.187368,-122.848979
09200,92 AVENUE,15353,Surrey Christian (Secondary),School,http://www.surreychristian.com/campuses/secondary/,Private,49.170514,-122.796584
16000,160 STREET,9115,Surrey Christian (Primary),School,http://www.surreychristian.com/campuses/primary/,Private,49.168550,-122.780306
08800,88 AVENUE,16193,Holy Cross Regional High,School,http://www.holycross.bc.ca,Private,49.163914,-122.775253
08800,88 AVENUE,13750,Bear Creek Pavilion,Other Recreation,http://www.surrey.ca/culture-recreation/1903.aspx,,49.161499,-122.842463
07000,70 AVENUE,18513,Clayton Community Hall,Community Hall/Centre,http://www.surrey.ca/culture-recreation/13137.aspx,,49.130057,-122.709130
06400,64 AVENUE,18915,Fire Hall #15,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.119349,-122.698765
06000,60 AVENUE,12863,Fire Hall #11,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.112100,-122.865968
05700,57 AVENUE,14323,Surrey Pre-Trial Centre,Justice,http://www.provincialcourt.bc.ca,,49.107202,-122.825998
05700,57 AVENUE,14355,Surrey RCMP HQ,RCMP,http://www.surreyrcmp.ca,,49.107084,-122.824498
05700,57 AVENUE,14340,Provincial Court,Justice,http://www.provincialcourt.bc.ca/court-location/surrey,,49.105788,-122.825099
05820,OLD MCLELLAN ROAD,16671,Surrey Centre Cemetery,Cemetery,http://www.surrey.ca/city-services/2249.aspx,,49.109640,-122.760691
13800,138 STREET,7125,Hollywood 3 Cinemas,Movie Theatre,http://www.hollywood3.ca/listings/surrey/,,49.131627,-122.840732
16800,168 STREET,10238,Pacific Academy,School,http://www.pacificacademy.net,Private,49.188847,-122.755256
06000,60 AVENUE,16874,Loyal Orange Lodge,Community Hall/Centre,http://www.surrey.ca/culture-recreation/2402.aspx,,49.111286,-122.759363
05700,57 AVENUE,17572,Fire Hall #8,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.105800,-122.735982
17600,176 STREET,6142,Cloverdale Curling Rink,Arena,http://www.cloverdalecurlingclub.ca/,,49.114259,-122.734339
05800,58 AVENUE,17635,Cloverdale Mini Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/8524.aspx,,49.107930,-122.733931
17650,176A STREET,5642,Cloverdale Library,Library,http://www.surreylibraries.ca/location-hours/4684.aspx,,49.104787,-122.733121
06000,60 AVENUE,17905,Greenaway Outdoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14044.aspx,,49.111876,-122.726607
17650,176A STREET,5732,Cloverdale RCMP District Office,RCMP,http://www.surreyrcmp.ca,,49.106626,-122.733448
18400,184 STREET,6220,Don Christian Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/5035.aspx,,49.115506,-122.711376
16400,164 STREET,8091,Fire Hall #18,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.149990,-122.768119
80403,CRESCENT ROAD,14250,Elgin Community Hall,Community Hall/Centre,http://www.surrey.ca/culture-recreation/6054.aspx,,49.066830,-122.827441
14400,144 STREET,3530,Elgin Centre,Other Recreation,http://www.surrey.ca/plans-strategies/3375.aspx,,49.066142,-122.822275
05600,56 AVENUE,17671,Surrey Archives,Attraction,http://www.surrey.ca/culture-recreation/2394.aspx,,49.104524,-122.733106
16000,160 STREET,10588,Fraser Heights Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/1928.aspx,,49.194905,-122.777115
16200,162 STREET,8888,Surrey Christian (Middle),School,http://www.surreychristian.com/campuses/middle/,Private,49.164187,-122.772512
10800,108 AVENUE,14727,Guildford Bottle Depot 2001,Garbage and Recycling,http://www.return-it.ca/locations/guildford-bottle-depot/,Bottle Depot,49.199236,-122.814414
09220,92 AVENUE,14033,Surrey Connect (K-12),School,http://www.surreyconnect.sd36.bc.ca/Pages/Default.aspx,Secondary,49.170634,-122.834038
07200,72 AVENUE,13730,Newton Youth Centre,Youth Centre,http://www.surrey.ca/youth/104.aspx,,49.133083,-122.841957
08400,84 AVENUE,15996,Fleetwood Community Centre,Community Hall/Centre,http://www.surrey.ca/culture-recreation/1858.aspx,,49.154924,-122.779596
02000,20 AVENUE,14601,South Surrey Rec Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/1918.aspx,,49.040056,-122.818852
15200,152 STREET,6016,Sullivan Elementary School,School,https://www.surreyschools.ca/schools/sullivan/Pages/default.aspx,Elementary,49.112269,-122.800071
07400,74 AVENUE,14755,Chimney Hill Elementary School,School,https://www.surreyschools.ca/schools/chimneyhill/Pages/default.aspx,Elementary,49.138103,-122.813934
15700,157 STREET,10752,Dogwood Elementary Elementary School,School,https://www.surreyschools.ca/schools/dogwood/Pages/default.aspx,Elementary,49.197856,-122.786082
13400,134 STREET,6550,Henry Bose Elementary School,School,https://www.surreyschools.ca/schools/henryb/Pages/default.aspx,Elementary,49.121784,-122.850335
12200,122 STREET,7676,Westerman Elementary School,School,https://www.surreyschools.ca/schools/westerman/Pages/default.aspx,Elementary,49.141721,-122.883454
14800,148 STREET,1739,H.T. Thrift Elementary School,School,https://www.surreyschools.ca/schools/htthrift/Pages/default.aspx,Elementary,49.033345,-122.813003
09200,92 AVENUE,12150,Kirkbride Elementary School,School,https://www.surreyschools.ca/schools/kirkbride/Pages/default.aspx,Elementary,49.169820,-122.885605
06200,62 AVENUE,12878,Panorama Park Elementary School,School,https://www.surreyschools.ca/schools/panoramapark/Pages/default.aspx,Elementary,49.114814,-122.865811
11200,112 AVENUE,13751,James Ardiel Elementary School,School,https://www.surreyschools.ca/schools/jamesardiel/Pages/default.aspx,Elementary,49.206892,-122.841262
06650,66A AVENUE,12928,Martha Jane Norris Elementary School,School,https://www.surreyschools.ca/schools/marthajanenorris/Pages/default.aspx,Elementary,49.123432,-122.864836
14400,144 STREET,10682,Mary Jane Shannon Elementary School,School,https://www.surreyschools.ca/schools/mjshannon/Pages/default.aspx,Elementary,49.196730,-122.822253
09800,98 AVENUE,14986,Bonaccord Elementary School,School,https://www.surreyschools.ca/schools/bonaccord/Pages/default.aspx,Elementary,49.179924,-122.806413
09800,98 AVENUE,12370,Cedar Hills Elementary School,School,https://www.surreyschools.ca/schools/cedarhill/About/ContactInfo/Pages/default.aspx,Elementary,49.180073,-122.879833
07200,72 AVENUE,12666,Kwantlen University College,School,http://www.kpu.ca/surrey,Post-Secondary,49.133144,-122.870989
13200,132 STREET,7170,Calvary Christian Academy,School,,Private,49.133285,-122.856057
13601,KING GEORGE BOULEVARD,7218,Newton Bottle Depot Inc.,Garbage and Recycling,http://www.encorpinc.com,Bottle Depot,49.134182,-122.844991
10100,101 AVENUE,15051,Landmark Cinemas 12 Guildford,Movie Theatre,http://www.landmarkcinemas.com/surrey-guildford,,49.186746,-122.804442
17600,176 STREET,6050,Shannon Hall,Community Hall/Centre,http://www.cloverdalerodeo.com/our-facilities/shannon-hall/,,49.112428,-122.734296
09755,GREEN TIMBERS WAY,14225,Surrey Nature Centre,Attraction,http://www.surrey.ca/culture-recreation/2311.aspx,,49.179178,-122.830263
07200,72 AVENUE,13530,Newton Cultural Centre (Art Space),Community Hall/Centre,http://www.artscouncilofsurrey.ca/html/aboutus.htm,,49.133198,-122.847022
10750,107A AVENUE,13458,Chuck Bailey Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/1914.aspx,,49.196928,-122.849258
08800,88 AVENUE,13750,Bear Creek Special Events Area,Other,http://www.surrey.ca/culture-recreation/1903.aspx,,49.160879,-122.842799
11010,PATULLO PLACE,12355,Bridgeview Bottle & Return-It Depot,Garbage and Recycling,https://www.return-it.ca/locations/bridgeview-bottle-return-it-depot/,Bottle Depot,49.203296,-122.879440
13502,CITY PARKWAY,10275,North Surrey Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/5048.aspx,,49.189537,-122.848961
13502,CITY PARKWAY,10275,North Surrey Indoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/1749.aspx,,49.189176,-122.849293
19200,192 STREET,9770,Surrey Transfer Station,Garbage and Recycling,http://www.surrey.ca/city-services/4551.aspx,Transfer Station,49.180459,-122.687041
05500,55 AVENUE,17918,Cloverdale Bottle Depot,Garbage and Recycling,http://www.return-it.ca/electronics/locations/staples-cloverdale/,Bottle Depot,49.102045,-122.726213
00101,FRASER HIGHWAY,15093,Fleetwood Bottle Return Depot,Garbage and Recycling,https://www.return-it.ca/locations/fleetwood-bottle-depot/,Bottle Depot,49.167471,-122.804180
08100,81 AVENUE,13359,Newton Elementary School,School,https://www.surreyschools.ca/schools/newtonelem/Pages/default.aspx,Elementary,49.150431,-122.852745
07070,70B AVENUE,13266,W.E. Kinvig Elementary School,School,https://www.surreyschools.ca/schools/wekinvig/Pages/default.aspx,Elementary,49.130484,-122.854495
13200,132 STREET,10135,Old Yale Road Elementary School,School,https://www.surreyschools.ca/schools/oldyaleroad/Pages/default.aspx,Elementary,49.186854,-122.857435
80403,CRESCENT ROAD,13723,The Hooser Weaving Centre,Attraction,http://www.surrey.ca/culture-recreation/12298.aspx,,49.065126,-122.841187
07200,72 AVENUE,14644,Valley View Mem. Gardens Cemetery,Cemetery,http://www.surrey.ca/city-services/2247.aspx,,49.133273,-122.817953
09600,96 AVENUE,13750,Surrey Memorial Hospital,Hospital,http://www.fraserhealth.ca/find_us/locations/our_locations?site_id=1792,,49.176029,-122.842412
13402,UNIVERSITY DRIVE,10350,City Centre Library,Library,http://www.surreylibraries.ca/location-hours/4682.aspx,,49.190434,-122.849357
01800,18 AVENUE,15155,Fire Hall #13,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.035043,-122.802053
01700,17 AVENUE,14655,South Surrey Indoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/1755.aspx,,49.033407,-122.815766
02000,20 AVENUE,14601,South Surrey Youth Centre,Youth Centre,http://www.surrey.ca/youth/107.aspx,,49.039523,-122.818530
00400,4 AVENUE,16900,Peace Portal Golf Course,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.009134,-122.753012
17600,176 STREET,6188,Cloverdale Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/8524.aspx,,49.115227,-122.733975
80403,CRESCENT ROAD,13723,EHP - Caretakers Residence,Other,http://www.surrey.ca/city-services/481.aspx,,49.065264,-122.842653
17600,176 STREET,6050,Fairgrounds - Area Lighting/Infrastructure,Community Hall/Centre,http://www.cloverdalerodeo.com/facilities-and-events/,,49.112805,-122.734126
17600,176 STREET,6050,Fairgrounds - Products Building,Community Hall/Centre,http://www.cloverdalerodeo.com/facilities-and-events/,,49.112805,-122.734126
14800,148 STREET,10662,Holly Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14047.aspx,,49.196362,-122.811768
03202,32 AVENUE DIVERSION,15329,Fire Hall #17,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.061231,-122.797428
12800,128 STREET,2610,Fire Hall #12,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.049695,-122.866921
01700,17 AVENUE,12854,Ocean Park Library,Library,http://www.surreylibraries.ca/location-hours/4686.aspx,,49.032556,-122.866081
11500,126A STREET,11475,Bridgeview Community Centre,Community Hall/Centre,http://www.surrey.ca/culture-recreation/11534.aspx,,49.211248,-122.871771
18400,184 STREET,6228,Cloverdale Youth Centre,Youth Centre,http://www.surrey.ca/youth/108.aspx,,49.115541,-122.711557
15400,105 AVENUE,15105,Guildford Youth Centre,Youth Centre,http://www.surrey.ca/youth/105.aspx,,49.193508,-122.802310
17600,176 STREET,6022,Alice McKay Building,Community Hall/Centre,http://www.cloverdalerodeo.com/our-facilities/alice-mckay-building/,,49.112857,-122.734314
15200,152 STREET,7778,Eaglequest Golf Course,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.143976,-122.799463
15200,152 STREET,7929,Guildford Golf & Country Club,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.146924,-122.801897
16800,168 STREET,1054,Meridian Golf - Par 3,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.021161,-122.756442
16005,MORGAN CREEK WAY,3500,Morgan Creek Golf Course,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.064649,-122.781187
16800,168 STREET,6857,Northview Golf & Country Club,Golf,http://www.northviewgolf.com/,,49.124487,-122.764759
16800,168 STREET,7700,Surrey Golf Course,Golf,http://www.surreygolf.com/,,49.143132,-122.754592
00101,FRASER HIGHWAY,17015,Fraser Golf Driving Range,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.145603,-122.749970
13601,KING GEORGE BOULEVARD,3600,Riverside Golf Course,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.067816,-122.820342
18800,188 STREET,5640,Sunrise Executive Par 3 Golf Course,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.105105,-122.701169
08800,88 AVENUE,13140,Jenill Recycling,Garbage and Recycling,http://www.return-it.ca/locations/metro-vancouver/surrey/jenill-recycling/,Bottle Depot,49.162221,-122.858853
12800,128 STREET,7743,Scott 72 Bottle & Return-It Depot,Garbage and Recycling,https://www.return-it.ca/locations/scott-72-bottle-return-it-depot/,Bottle Depot,49.143447,-122.868338
08600,86 AVENUE,12111,Scott Road Bottle Depot,Garbage and Recycling,http://www.encorpinc.com,Bottle Depot,49.159956,-122.887557
01300,13 AVENUE,16244,South Meridian Elementary School,School,https://www.surreyschools.ca/schools/southmeridian/Pages/default.aspx,Elementary,49.025753,-122.771664
09600,96 AVENUE,11659,Fire Hall #3,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.177424,-122.899364
08800,88 AVENUE,18922,Fire Hall #7,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.162567,-122.698117
17600,176 STREET,2016,Fire Hall #14,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.038859,-122.734810
80303,COLEBROOK ROAD,17944,Surrey Animal and Adoption Centre,Other,http://www.surrey.ca/city-services/11182.aspx,,49.097719,-122.725463
12550,125A STREET,5404,Colebrook Elementary School,School,https://www.surreyschools.ca/schools/colebrook/Pages/default.aspx,Elementary,49.101388,-122.873794
14200,142 STREET,1730,Bayridge Elementary School,School,https://www.surreyschools.ca/schools/bayridge/Pages/default.aspx,Elementary,49.033801,-122.827963
18400,184 STREET,2795,East Kensington Elementary School,School,https://www.surreyschools.ca/schools/eastkensington/Pages/default.aspx,Elementary,49.052721,-122.714277
12800,128 STREET,9160,David Brankin Elementary School,School,https://www.surreyschools.ca/schools/davidbrankin/Pages/default.aspx,Elementary,49.169305,-122.866493
00800,8 AVENUE,18150,Hazelmere Golf & Tennis Club,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,49.015565,-122.720291
15000,150 STREET,2040,Meridian Centre,Community Hall/Centre,http://www.surrey.ca/culture-recreation/5053.aspx,,49.038816,-122.806255
15890,CRANLEY DRIVE,2141,Cranley Drive Senior Recreation Ctr,Seniors Centre,http://www.surrey.ca/culture-recreation/4795.aspx,,49.040745,-122.781316
02600,26 AVENUE,15455,Sunnyside Outdoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14045.aspx,,49.049956,-122.795085
07200,137 STREET,7235,Newton RCMP District Office,RCMP,http://www.surreyrcmp.ca,,49.134287,-122.843054
05603,NO 10 (56 AVENUE) HIGHWAY,17710,Surrey Museum,Attraction,http://www.surrey.ca/culture-recreation/2372.aspx,,49.104440,-122.732176
80403,CRESCENT ROAD,13723,Stewart Farm House,Attraction,http://www.surrey.ca/culture-recreation/2875.aspx,,49.065078,-122.842011
08000,80 AVENUE,15802,Fleetwood Water Park,Water Park,http://www.surrey.ca/culture-recreation/2113.aspx,,49.147860,-122.782724
11000,110 AVENUE,15924,Erma Stephenson Water Park,Water Park,http://www.surrey.ca/culture-recreation/2149.aspx,,49.202083,-122.781135
10800,108 STREET, ,Fraser Heights Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/Sports.aspx,,49.198512,-122.774869
17600,176 STREET,6050,Stetson Bowl,Attraction,http://www.cloverdalerodeo.com/our-facilities/stetson-bowl/,,49.115016,-122.726920
15800,158 STREET ,9025 ,Woodland Park Elementary School,School,https://www.surreyschools.ca/schools/woodlandpark/Pages/default.aspx,Elementary,49.167347,-122.785606
03600,36 AVENUE,15516,Rosemary Heights Elementary School,School,https://www.surreyschools.ca/schools/rosemaryheights/Pages/default.aspx,Elementary,49.066698,-122.792321
13300,133 STREET,6845,Unwin Outdoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14049.aspx,,49.127113,-122.854364
80403,CRESCENT ROAD,13723,Ward's Marina,Other Recreation,http://cruisingundersail.com/wp/?page_id=965,,49.065611,-122.842543
07400,74 AVENUE,12755,Newton Athletic Pavilion,Other Recreation,http://www.surrey.ca/culture-recreation/2059.aspx,,49.137370,-122.869735
10400,104 AVENUE,13450,City Hall,Municipal,http://www.surrey.ca/city-government/14172.aspx,,49.191404,-122.849778
03200,32 AVENUE,16824,Kensington Prairie Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/7794.aspx,,49.059987,-122.755336
19100,191 STREET,7057,Hazelgrove Elementary School,School,https://www.surreyschools.ca/schools/hazelgrove/Pages/default.aspx,Elementary,49.130860,-122.694514
14200,142 STREET,6082,Woodward Hill Elementary School,School,https://www.surreyschools.ca/schools/woodwardhill/Pages/default.aspx,Elementary,49.113524,-122.828246
11300,113 AVENUE,13875,Surrey Traditional Elementary School,School,https://www.surreyschools.ca/schools/surreytraditional/Pages/default.aspx,Elementary,49.208240,-122.838067
05603,56 AVENUE,17857,Cloverdale Traditional Elementary School,School,https://www.surreyschools.ca/schools/cloverdaletraditional/Pages/default.aspx,Elementary,49.104627,-122.727992
06800,68 AVENUE,18228,Adams Road Elementary School,School,https://www.surreyschools.ca/schools/adamsroad/Pages/default.aspx,Elementary,49.124997,-122.717434
07700,77 AVENUE,13940,Frank Hurt Secondary School,School,https://www.surreyschools.ca/schools/frankhurt/Pages/default.aspx,Secondary,49.142095,-122.836768
13200,132 STREET,10441,Kwantlen Park Secondary School,School,https://www.surreyschools.ca/schools/kwantlenpark/Pages/default.aspx,Secondary,49.193070,-122.858602
12400,124 STREET,6999,Khalsa School Newton Campus,School,http://www.khalsaschoolcanada.com,Private,49.129570,-122.880489
06650,66A AVENUE,15090,Regent Christian Academy,School,http://www.regent.bc.ca,Private,49.122581,-122.803812
06570,65B AVENUE,13130,St. Bernadette School,School,http://www.stbernadetteschool.ca/silver/news/,Private,49.121532,-122.858159
07200,72 AVENUE,12870,B.C.I.T. Surrey Campus,School,http://www.bcit.ca,Post-Secondary,49.131944,-122.866181
08400,84 AVENUE,15996,Fleetwood Library,Library,http://www.surreylibraries.ca/location-hours/4678.aspx,,49.155219,-122.779618
13670,136B STREET,7120,Newton Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/7325.aspx,,49.132856,-122.841940
07200,72 AVENUE,12870,Princess Margaret Secondary School,School,http://www.sd36.bc.ca/pmarga/,Secondary,49.131686,-122.866532
